ID,Kata,SukuKata,Sampa,SukuSampa
943,menahan,me-na-han,m@nVhVn,m.@-n.V-h.V.n
944,jantung,jan-tung,dZVntUN,dZ.V.n-t.U.N
945,persis,per-sis,persIs,p.e.r-s.I.s
946,meningkat,me-ning-kat,m@nINkVt,m.@-n.I.N-k.V.t
947,dinding,din-ding,dIndIN,d.I.n-d.I.N
948,jarak,ja-rak,dZVrVk,dZ.V-r.V.k
949,buah,bu-ah,bUVh,b.U-V.h
950,saksi,sak-si,sVksI,s.V.k-s.I
951,penduduk,pen-du-duk,p@ndUdUk,p.@.n-d.U-d.U.k
952,sembilan,sem-bi-lan,s@mbIlVn,s.@.m-b.I-l.V.n
953,bohong,bo-hong,bQhQN,b.Q-h.Q.N
954,bertindak,ber-tin-dak,b@rtIndVk,b.@.r-t.I.n-d.V.k
955,telpon,tel-pon,t@lpQn,t.@.l-p.Q.n
956,izin,i-zin,IzIn,I-z.I.n
957,putra,put-ra,pUtrV,p.U.t-r.V
958,hijau,hi-jau,hIdZaU,h.I-dZ.a.U
959,lemah,le-mah,lemVh,l.e-m.V.h
960,kode,ko-de,kQd@,k.Q-d.@
961,terbakar,ter-ba-kar,t@rbVkVr,t.@.r-b.V-k.V.r
962,bertanggung,ber-tang-gung,b@rtVNgUN,b.@.r-t.V.N-g.U.N
963,liga,li-ga,lIgV,l.I-g.V
964,baca,ba-ca,bVtSV,b.V-tS.V
965,ratu,ra-tu,rVtU,r.V-t.U
966,bakal,ba-kal,bVkVl,b.V-k.V.l
967,pegang,pe-gang,pegVN,p.e-g.V.N
968,entah,en-tah,@ntVh,@.n-t.V.h
969,menari,me-na-ri,m@nVrI,m.@-n.V-r.I
970,papa,pa-pa,pVpV,p.V-p.V
971,lokal,lo-kal,lQkVl,l.Q-k.V.l
972,dukungan,du-kung-an,dUkUNVn,d.U-k.U.N-V.n
973,fokus,fo-kus,fQkUs,f.Q-k.U.s
974,agung,a-gung,VgUN,V-g.U.N
975,cina,ci-na,tSInV,tS.I-n.V
976,ganti,gan-ti,gVntI,g.V.n-t.I
977,tangkap,tang-kap,tVNkVp,t.V.N-k.V.p
978,memasuki,me-ma-suk-i,m@mVsUkI,m.@-m.V-s.U.k-I
979,pedang,pe-dang,pedVN,p.e-d.V.N
980,menyentuh,me-nyen-tuh,m@nYentUh,m.@-nY.e.n-t.U.h
981,tekanan,te-kan-an,t@kVnVn,t.@-k.V.n-V.n
982,merusak,me-ru-sak,m@rUsVk,m.@-r.U-s.V.k
983,wah,wah,wVh,w.V.h
984,kabur,ka-bur,kVbUr,k.V-b.U.r
985,miskin,mis-kin,mIskIn,m.I.s-k.I.n
986,tangga,tang-ga,tVNgV,t.V.N-g.V
987,ampun,am-pun,VmpUn,V.m-p.U.n
988,hancur,han-cur,hVntSUr,h.V.n-tS.U.r
989,tiket,ti-ket,tIk@t,t.I-k.@.t
990,terjebak,ter-je-bak,t@rdZebVk,t.@.r-dZ.e-b.V.k
991,video,vi-deo,fIdeQ,f.I-d.e.Q
992,detektif,de-tek-tif,d@tektIf,d.@-t.e.k-t.I.f
993,darurat,da-ru-rat,dVrUrVt,d.V-r.U-r.V.t
994,berikut,be-ri-kut,b@rIkUt,b.@-r.I-k.U.t
995,ribuan,ri-bu-an,rIbUVn,r.I-b.U-V.n
996,kirim,ki-rim,kIrIm,k.I-r.I.m
997,bencana,ben-ca-na,b@ntSVnV,b.@.n-tS.V-n.V
998,sobat,so-bat,sQbVt,s.Q-b.V.t
999,mayat,ma-yat,mVjVt,m.V-j.V.t
1000,luas,lu-as,lUVs,l.U-V.s
1001,penumpang,pe-num-pang,p@nUmpVN,p.@-n.U.m-p.V.N
1002,putus,pu-tus,pUtUs,p.U-t.U.s
1003,pisau,pi-sau,pIsaU,p.I-s.aU
1004,sapi,sa-pi,sVpI,s.V-p.I
1005,beli,be-li,belI,b.e-l.I
1006,pendapat,pen-da-pat,p@ndVpVt,p.@.n-d.V-p.V.t
1007,sedih,se-dih,sedIh,s.e-d.I.h
1008,menilai,me-ni-lai,m@nIlaI,m.@-n.I-l.a.I
1009,kolonel,ko-lo-nel,kQlQn@l,k.Q-l.Q-n.@.l
1010,batas,ba-tas,bVtVs,b.V-t.V.s
1011,mengira,me-ngi-ra,m@NIrV,m.@-N.I-r.V
1012,pajak,pa-jak,pVdZVk,p.V-dZ.V.k
1013,babak,ba-bak,bVbVk,b.V-b.V.k
1014,super,su-per,sUp@r,s.U-p.@.r
1015,berkembang,ber-kem-bang,b@rkembVN,b.@.r-k.e.m-b.V.N
1016,angkasa,ang-ka-sa,VNkVsV,V.N-k.V-s.V
1017,cincin,cin-cin,tSIntSIn,tS.I.n-tS.I.n
1018,tambahan,tam-bah-an,tVmbVhVn,t.V.m-b.V.h-V.n
1019,sambil,sam-bil,sVmbIl,s.V.m-b.I.l
1020,mengenal,me-nge-nal,m@NenVl,m.@-N.e-n.V.l
1021,semangat,se-ma-ngat,s@mVNVt,s.@-m.V-N.V.t
1022,melanggar,me-lang-gar,m@lVNgVr,m.@-l.V.N-g.V.r
1023,ancaman,an-cam-an,VntSVmVn,V.n-tS.V-m.V.n
1024,justru,jus-tru,dZUstrU,dZ.U.s-t.r.U
1025,berbuat,ber-bu-at,b@rbUVt,b.@.r-b.U-V.t
1026,nenek,ne-nek,nen@k,n.e-n.@.k
1027,berdarah,ber-da-rah,b@rdVrVh,b.@.r-d.V-r.V.h
1028,jembatan,jem-ba-tan,dZ@mbVtVn,dZ.@.m-b.V-t.V.n
1029,sehari,se-ha-ri,s@hVrI,s.@-h.V-r.I
1030,mendatang,men-da-tang,m@ndVtVN,m.@.n-d.V-t.V.N
1031,kertas,ker-tas,kertVs,k.e.r-t.V.s
1032,babi,ba-bi,bVbI,b.V-b.I
1033,supaya,su-pa-ya,sUpVjV,s.U-p.V-j.V
1034,peluang,pe-lu-ang,p@lUVN,p.@-l.U-V.N
1035,malah,ma-lah,mVlVh,m.V-l.V.h
1036,liar,li-ar,lIVr,l.I-V.r
1037,celana,ce-la-na,tS@lVnV,tS.@-l.V-n.V
1038,tikus,ti-kus,tIkUs,t.I-k.U.s
1039,ratusan,ra-tus-an,rVtUsVn,r.V-t.U.s-V.n
1040,mei,me-i,meI,m.e-I
1041,kakek,ka-kek,kVk@k,k.V-k.@.k
1042,arab,a-rab,VrVb,V-r.V.b
1043,setan,se-tan,setVn,s.e-t.V.n
1044,surga,sur-ga,sUrgV,s.U.r-g.V
1045,setempat,se-tem-pat,s@tempVt,s.@-t.e.m-p.V.t
1046,hadir,ha-dir,hVdIr,h.V-d.I.r
1047,badai,ba-dai,bVdaI,b.V-d.aI
1048,meraih,me-ra-ih,meraIh,m.e-r.a-I.h
1049,peserta,pe-ser-ta,p@sertV,p.@-s.e.r-t.V
1050,budaya,bu-da-ya,bUdVjV,b.U-d.V-j.V
1051,penjahat,pen-ja-hat,p@ndZVhVt,p.@.n-dZ.V-h.V.t
1052,pasien,pa-si-en,pVsIn,p.V-s.I.n
1053,kacau,ka-cau,kVtSaU,k.V-tS.aU
1054,tulang,tu-lang,tUlVN,t.U-l.V.N
1055,layanan,la-yan-an,lVjVnVn,l.V-j.V.n-V.n
1056,pekerja,pe-ker-ja,p@kerdZV,p.@-k.e.r-dZ.V
1057,tampil,tam-pil,tVmpIl,t.V.m-p.I.l
1058,bertarung,ber-ta-rung,b@rtVrUN,b.@.r-t.V-r.U.N
1059,peta,pe-ta,petV,p.e-t.V
1060,raksasa,rak-sa-sa,rVksVsV,r.V.k-s.V-s.V
1061,teroris,te-ro-ris,t@rQrIs,t.@-r.Q-r.I.s
1062,tanggung,tang-gung,tVNgUN,t.V.N-g.U.N
1063,ledakan,le-dak-an,l@dVkVn,l.@-d.V.k-V.n
1064,lintas,lin-tas,lIntVs,l.I.n-t.V.s
1065,apaan,a-pa-an,VpV_Vn,V-p.V-_V.n
1066,hukuman,hu-kum-an,hUkUmVn,h.U-k.U.m-V.n
1067,petani,pe-ta-ni,p@tVnI,p.@-t.V-n.I
1068,paus,pa-us,paUs,p.a-U.s
1069,sikap,si-kap,sIkVp,s.I-k.V.p
1070,berbagi,ber-ba-gi,b@rbVgI,b.@.r-b.V-g.I
1071,makin,ma-kin,mVkIn,m.V-k.I.n
1072,terdapat,ter-da-pat,t@rdVpVt,t.@.r-d.V-p.V.t
1073,tahanan,ta-han-an,tVhVnVn,t.V-h.V.n-V.n
1074,umat,u-mat,UmVt,U-m.V.t
1075,terang,te-rang,terVN,t.e-r.V.N
1076,menjalani,men-ja-lan-i,m@ndZVlVnI,m.@.n-dZ.V-l.V.n-I
1077,jelek,je-lek,dZel@k,dZ.e-l.@.k
1078,menyebut,me-nye-but,m@nYebUt,m.@-nY.e-b.U.t
1079,setahun,se-ta-hun,s@tVhUn,s.@-t.V-h.U.n
1080,berdoa,ber-do-a,b@rdQV,b.@.r-d.Q-V
1081,berenang,be-re-nang,b@renVN,b.@-r.e-n.V.N
1082,petunjuk,pe-tun-juk,p@tUndZUk,p.@-t.U.n-dZ.U.k
1083,juli,ju-li,dZUlI,dZ.U-l.I
1084,juni,ju-ni,dZUnI,dZ.U-n.I
1085,pura,pu-ra,pUrV,p.U-r.V
1086,telur,te-lur,t@lUr,t.@-l.U.r
1087,kejutan,ke-jut-an,k@dZUtVn,k.@-dZ.U.t-V.n
1088,kena,ke-na,k@nV,k.@-n.V
1089,sinyal,si-nyal,sInYVl,s.I-nY.V.l
1090,pemilik,pe-mi-lik,p@mIlIk,p.@-m.I-l.I.k
1091,tukang,tu-kang,tUkVN,t.U-k.V.N
1092,abad,a-bad,VbVd,V-b.V.d
1093,lawan,la-wan,lVwVn,l.V-w.V.n
1094,virus,vi-rus,fIrUs,f.I-r.U.s
1095,dad,dad,dVd,d.V.d
1096,minggir,ming-gir,mINgIr,m.I.N-g.I.r
1097,pangeran,pa-nge-ran,pVNerVn,p.V-N.e-r.V.n
1098,lolos,lo-los,lQlQs,l.Q-l.Q.s
1099,paris,pa-ris,pVrIs,p.V-r.I.s
1100,sudut,su-dut,sUdUt,s.U-d.U.t
1101,membuang,mem-bu-ang,m@mbUVN,m.@.m-b.U-V.N
1102,parah,pa-rah,pVrVh,p.V-r.V.h
1103,gratis,gra-tis,grVtIs,g.r.V-t.I.s
1104,bapak,ba-pak,bVpVk,b.V-p.V.k
1105,ukuran,u-kur-an,UkUrVn,U-k.U.r-V.n
1106,tes,tes,tes,t.e.s
1107,bar,bar,bVr,b.V.r
1108,sulut,su-lut,sUlUt,s.U-l.U.t
1109,asli,as-li,VslI,V.s-l.I
1110,melompat,me-lom-pat,m@lQmpVt,m.@-l.Q.m-p.V.t
1111,suci,su-ci,sUtSI,s.U-tS.I
1112,kendali,ken-da-li,k@ndVlI,k.@.n-d.V-l.I
1113,kisah,ki-sah,kIsVh,k.I-s.V.h
1114,palsu,pal-su,pVlsU,p.V.l-s.U
1115,adik,a-dik,VdIk,V-d.I.k
1116,kayu,ka-yu,kVjU,k.V-j.U
1117,narkoba,nar-ko-ba,nVrkQbV,n.V.r-k.Q-b.V
1118,gerbang,ger-bang,gerbVN,g.e.r-b.V.N
1119,pimpinan,pim-pin-an,pImpInVn,p.I.m-p.I.n-V.n
1120,tanaman,ta-nam-an,tVnVmVn,t.V-n.V.m-V.n
1121,fakta,fak-ta,fVktV,f.V.k-t.V
1122,final,fi-nal,fInVl,f.I-n.V.l
1123,merokok,me-ro-kok,m@rQkQk,m.@-r.Q-k.Q.k
1124,santai,san-tai,sVntaI,s.V.n-t.a.I
1125,peran,pe-ran,perVn,p.e-r.V.n
1126,sepeda,se-pe-da,s@pedV,s.@-p.e-d.V
1127,bupati,bu-pa-ti,bUpVtI,b.U-p.V-t.I
1128,angkatan,ang-kat-an,VNkVtVn,V.N-k.V.t-V.n
1129,terserah,ter-se-rah,t@rserVh,t.@.r-s.e-r.V.h
1130,damai,da-mai,dVmaI,d.V-m.aI
1131,sayangnya,sa-yang-nya,sVjVNnYV,s.V-j.V.N-nY.V
1132,dah,dah,dVh,d.V.h
1133,menaruh,me-na-ruh,m@nVrUh,m.@-n.V-r.U.h
1134,berlaku,ber-la-ku,b@rlVkU,b.@.r-l.V-k.U
1135,semalam,se-ma-lam,s@mVlVm,s.@-m.V-l.V.m
1136,sel,sel,sel,s.e.l
1137,raya,ra-ya,rVjV,r.V-j.V
1138,alih,a-lih,VlIh,V-lI..h
1139,masukkan,ma-suk-kan,mVsUkkVn,m.V-s.U.k-k.V.n
1140,ketemu,ke-te-mu,k@temU,k.@-t.e-m.U
1141,kredit,kre-dit,kredIt,k.r.e-d.I.t
1142,positif,po-si-tif,pQsItIf,p.Q-s.I-t.I.f
1143,memakan,me-ma-kan,m@mVkVn,m.@-m.V-k.V.n
1144,pos,pos,pQs,p.Q.s
1145,piala,pi-a-la,pIVlV,p.I-V-l.V
1146,sahabat,sa-ha-bat,sVhVbVt,s.V-h.V-b.V.t
1147,desember,de-sem-ber,d@semb@r,d.@-s.e.m-b.@.r
1148,terasa,te-ra-sa,t@rVsV,t.@-r.V-s.V
1149,pilih,pi-lih,pIlIh,p.I-l.I.h
1150,hangat,ha-ngat,hVNVt,h.V-N.V.t
1151,mencium,men-ci-um,m@ntSIUm,m.@.n-tS.I-U.m
1152,teh,teh,teh,t.e.h
1153,ton,ton,tQn,t.Q.n
1154,pabrik,pab-rik,pVbrIk,p.V.b-r.I.k
1155,nuklir,nu-klir,nUklIr,n.U-k.l.I.r
1156,guna,gu-na,gUnV,g.U-n.V
1157,suku,su-ku,sUkU,s.U-k.U
1158,dahulu,da-hu-lu,dVhUlU,d.V-h.U-l.U
1159,lanjutkan,lan-jut-kan,lVndZUtkVn,l.V.n-dZ.U.t-k.V.n
1160,murah,mu-rah,mUrVh,m.U-r.V.h
1161,pendek,pen-dek,pend@k,p.e.n-d.@.k
1162,seksi,sek-si,seksI,s.e.k-s.I
1163,pemuda,pe-mu-da,p@mUdV,p.@-m.U-d.V
1164,cuaca,cu-a-ca,tSUVtSV,tS.U-V-tS.V
1165,isi,i-si,IsI,I-s.I
1166,dendam,den-dam,dendVm,d.e.n-d.V.m
1167,medis,me-dis,medIs,m.e-d.I.s
1168,samping,sam-ping,sVmpIN,s.V.m-p.I.N
1169,sejati,se-ja-ti,s@dZVtI,s.@-dZ.V-t.I
1170,bayar,ba-yar,bVjVr,b.V-j.V.r
1171,menjauh,men-ja-uh,mendZaUh,m.e.n-dZ.a-U.h
1172,mengangkat,meng-ang-kat,m@NVNkVt,m.@.N-V.N-k.V.t
1173,banjir,ban-jir,bVndZIr,b.V.n-dZ.I.r
1174,kasar,ka-sar,kVsVr,k.V-s.V.r
1175,suruh,su-ruh,sUrUh,s.U-r.U.h
1176,anggur,ang-gur,VNgUr,V.N-g.U.r
1177,atap,a-tap,VtVp,V-t.V.p
1178,global,glo-bal,glQbVl,g.l.Q-b.V.l
1179,lambat,lam-bat,lVmbVt,l.V.m-b.V.t
1180,model,mo-del,mQd@l,m.Q-d.@.l
1181,menganggap,meng-ang-gap,m@NVNgVp,m.@.N-V.N-g.V.p
1182,buru,bu-ru,bUrU,b.U-r.U
1183,nasib,na-sib,nVsIb,n.V-s.I.b
1184,krisis,kri-sis,krIsIs,k.r.I-s.I.s
1185,bersiap,ber-si-ap,b@rsIVp,b.@.r-s.I-V.p
1186,sengaja,se-nga-ja,s@NVdZV,s.@-N.V-dZ.V
1187,april,ap-ril,VprIl,V.p-r.I.l
1188,pasang,pa-sang,pVsVN,p.V-s.V.N
1189,membentuk,mem-ben-tuk,m@mb@ntUk,m.@.m-b.@.n-t.U.k
1190,sentuh,sen-tuh,sentUh,s.e.n-t.U.h
1191,oktober,ok-to-ber,QktQb@r,Q.k-t.Q-b.@.r
1192,simpan,sim-pan,sImpVn,s.I.m-p.V.n
1193,cerdas,cer-das,tSerdVs,tS.e.r-d.V.s
1194,ketat,ke-tat,ketVt,k.e-t.V.t
1195,buta,bu-ta,bUtV,b.U-t.V
1196,turut,tu-rut,tUrUt,t.U-r.U.t
1197,tokoh,to-koh,tQkQh,t.Q-k.Q.h
1198,pandangan,pan-dang-an,pVndVNVn,p.V.n-d.V.N-V.n
1199,beruang,be-ru-ang,b@rUVN,b.@-r.U-V.N
1200,malang,ma-lang,mVlVN,m.V-l.V.N
1201,area,a-re-a,VreV,V-r.e-V
1202,usai,u-sai,UsaI,U-s.aI
1203,mendarat,men-da-rat,m@ndVrVt,m.@.n-d.V-r.V.t
1204,kencan,ken-can,k@ntSVn,k.@.n-tS.V.n
1205,gaya,ga-ya,gVjV,g.V-j.V
1206,meledak,me-le-dak,m@ledVk,m.@-l.e-d.V.k
1207,kontrol,kon-trol,kQntrQl,k.Q.n-t.r.Q.l
1208,ujung,u-jung,UdZUN,U-dZ.U.N
1209,tahap,ta-hap,tVhVp,t.V-h.V.p
1210,tuanku,tu-an-ku,tUVnkU,t.U-V.n-k.U
1211,jejak,je-jak,dZedZVk,dZ.e-dZ.V.k
1212,komandan,ko-man-dan,kQmVndVn,k.Q-m.V.n-d.V.n
1213,kualitas,ku-a-li-tas,kUVlItVs,k.U-V-l.I-t.V.s
1214,pukulan,pu-kul-an,pUkUlVn,p.U-k.U.l-V.n
1215,rekan,re-kan,rekVn,r.e-k.V.n
1216,potong,po-tong,pQtQN,p.Q-t.Q.N
1217,sipil,si-pil,sIpIl,s.I-p.I.l
1218,laga,la-ga,lVgV,l.V-g.V
1219,pasir,pa-sir,pVsIr,p.V-s.I.r
1220,september,sep-tem-ber,s@ptemb@r,s.@.p-t.e.m-b.@.r
1221,kristus,kris-tus,krIstUs,k.r.I.s-t.U.s
1222,terkena,ter-ke-na,t@rk@nV,t.@.r-k.@-n.V
1223,ujian,u-ji-an,UdZIVn,U-dZ.I-V.n
1224,bersikap,ber-si-kap,b@rsIkVp,b.@.r-s.I-k.V.p
1225,got,got,gQt,g.Q.t
1226,bekas,be-kas,b@kVs,b.@-.kV.s
1227,menolong,me-no-long,m@nQlQN,m.@-n.Q-l.Q.N
1228,tenggelam,teng-ge-lam,t@NgelVm,t.@.N-g.e-l.V.m
1229,kok,kok,kQk,k.Q.k
1230,sebagai,se-ba-gai,s@bVgaI,s.@-b.V-g.aI
1231,mana,ma-na,mVnV,m.V-n.V
1232,mahal,ma-hal,mVhVl,m.V-h.V.l
1233,mengurus,meng-u-rus,m@NUrUs,m.@.N-U-r.U.s
1234,taruh,ta-ruh,tVrUh,t.V-r.U.h
1235,tertangkap,ter-tang-kap,t@rtVNkVp,t.@.r-t.V.N-k.V.p
1236,pelanggan,pe-lang-gan,p@lVNgVn,p.@-l.V.N-g.V.n
1237,terlebih,ter-le-bih,t@rlebIh,t.@.r-l.e-b.I.h
1238,sidang,si-dang,sIdVN,s.I-d.V.N
1239,belas,be-las,belVs,b.e-l.V.s
1240,rokok,ro-kok,rQkQk,r.Q-k.Q.k
1241,lulus,lu-lus,lUlUs,l.U-l.U.s
1242,pelan,pe-lan,pelVn,p.e-l.V.n
1243,lelucon,le-lu-con,l@lUtSQn,l.@-l.U-tS.Q.n
1244,pencuri,pen-cu-ri,p@ntSUrI,p.@.n-tSU.-r.I
1245,hormat,hor-mat,hQrmVt,h.Q.r-m.V.t
1246,roti,ro-ti,rQtI,r.Q-t.I
1247,alami,a-la-mi,VlVmI,V-l.V-m.I
1248,kuatir,ku-a-tir,kUVtIr,k.U-V-t.I.r
1249,kuliah,ku-li-ah,kUlIVh,k.U-l.I-V.h
1250,fisik,fi-sik,fIsIk,f.I-s.I.k
1251,tulis,tu-lis,tUlIs,t.U-l.I.s
1252,membakar,mem-ba-kar,m@mbVkVr,m.@.m-b.V-k.V.r
1253,rumahku,ru-mah-ku,rUmVhkU,r.U-m.V.h-k.U
1254,lurus,lu-rus,lUrUs,l.U-r.U.s
1255,kalangan,ka-la-ngan,kVlVNVn,k.V-l.V-N.V.n
1256,kontak,kon-tak,kQntVk,k.Q.n-t.V.k
1257,besi,be-si,besI,b.e-s.I
1258,lengkap,leng-kap,leNkVp,l.e.N-k.V.p
1259,taksi,tak-si,tVksI,t.V.k-s.I
1260,gula,gu-la,gUlV,g.U-l.V
1261,pasal,pa-sal,pVsVl,p.V-s.V.l
1262,terkejut,ter-ke-jut,t@rkedZUt,t.@.r-k.e-dZ.U.t
1263,bapa,ba-pa,bVpV,b.V-p.V
1264,tampan,tam-pan,tVmpVn,t.V.m-p.V.n
1265,berlatih,ber-la-tih,b@rlVtIh,b.@.r-l.V-t.I.h
1266,mengisi,meng-i-si,m@NIsI,m.@.N-I-s.I
1267,paket,pa-ket,pVk@t,p.V-k.@.t
1268,engkau,eng-kau,@NkaU,@.N-k.aU
1269,gelar,ge-lar,gelVr,g.e-l.V.r
1270,gempa,gem-pa,gempV,g.e.m-p.V
1271,segar,se-gar,segVr,s.e-g.V.r
1272,olah,o-lah,QlVh,Q-l.V.h
1273,umur,u-mur,UmUr,U-m.U.r
1274,situs,si-tus,sItUs,s.I-t.U.s
1275,contoh,con-toh,tSQntQh,tS.Q.n-t.Q.h
1276,topi,to-pi,tQpI,t.Q-p.I
1277,pers,pers,pers,p.e.r.s
1278,terpisah,ter-pi-sah,t@rpIsVh,t.@.r-p.I-s.V.h
1279,menambah,me-nam-bah,m@nVmbVh,m.@-n.V.m-b.V.h
1280,bangsat,bang-sat,bVNsVt,b.V.N-s.V.t
1281,nyawa,nya-wa,nYVwV,nY.V-w.V
1282,tambang,tam-bang,tVmbVN,t.V.m-b.V.N
1283,sasaran,sa-sa-ran,sVsVrVn,s.V-s.V-r.V.n
1284,november,no-vem-ber,nQfemb@r,n.Q-f.e.m-b.@.r
1285,cewek,ce-wek,tSew@k,tS.e-w.@.k
1286,mengajar,meng-a-jar,m@NVdZVr,m.@.N-V-dZ.V.r
1287,bertaruh,ber-ta-ruh,b@rtVrUh,b.@.r-t.V-.rU.h
1288,aktif,ak-tif,VktIf,V.k-t.I.f
1289,patah,pa-tah,pVtVh,p.V-t.V.h
1290,tongkat,tong-kat,tQNkVt,t.Q.N-k.V.t
1291,bermimpi,ber-mim-pi,b@rmImpI,b.@.r-m.I.m-p.I
1292,awak,a-wak,VwVk,V-w.V.k
1293,berputar,ber-pu-tar,b@rpUtVr,b.@.r-p.U-t.V.r
1294,modal,mo-dal,mQdVl,m.Q-d.V.l
1295,cek,cek,tSek,tS.e.k
1296,harta,har-ta,hVrtV,h.V.r-t.V
1297,sihir,si-hir,sIhIr,s.I-h.I.r
1298,hamil,ha-mil,hVmIl,h.V-m.I.l
1299,susu,su-su,sUsU,s.U-s.U
1300,berperang,ber-pe-rang,b@rperVN,b.@.r-p.e-r.V.N
1301,yunani,yu-na-ni,jUnVnI,j.U-n.V-n.I
1302,massa,mas-sa,mVsV,m.V-s.V
1303,pantat,pan-tat,pVntVt,p.V.n-t.V.t
1304,penyebab,pe-nye-bab,p@nYebVb,p.@-nY.e-b.V.b
1305,muslim,mus-lim,mUslIm,m.U.s-l.I.m
1306,matikan,ma-ti-kan,mVtIkVn,m.V-t.I-k.V.n
1307,seumur,se-u-mur,s@UmUr,s.@-U-m.U.r
1308,sepak,se-pak,sepVk,s.e-p.V.k
1309,penonton,pe-non-ton,p@nQntQn,p.@-n.Q.n-t.Q.n
1310,cabang,ca-bang,tSVbVN,tS.V-b.V.N
1311,bali,ba-li,bVlI,b.V-l.I
1312,salam,sa-lam,sVlVm,s.V-l.V.m
1313,tertutup,ter-tu-tup,t@rtUtUp,t.@.r-t.U-t.U.p
1314,jalanan,ja-lan-an,dZVlVnVn,dZ.V-l.V.n-V.n
1315,mayor,ma-yor,mVjQr,m.V-j.Q.r
1316,danau,da-nau,dVnaU,d.V-n.aU
1317,menara,me-na-ra,m@nVrV,m.@-n.V-r.V
1318,pilot,pi-lot,pIlQt,p.I-l.Q.t
1319,robot,ro-bot,rQbQt,r.Q-b.Q.t
1320,singkat,sing-kat,sINkVt,s.I.N-k.V.t
1321,arti,ar-ti,VrtI,V.r-t.I
1322,agustus,a-gus-tus,VgUstUs,V-g.U.s-t.U.s
1323,teori,te-o-ri,t@QrI,t.@-Q-r.I
1324,solo,so-lo,sQlQ,s.Q-l.Q
1325,terkadang,ter-ka-dang,t@rkVdVN,t.@.r-k.V-d.V.N
1326,papan,pa-pan,pVpVn,p.V-p.V.n
1327,efek,e-fek,ef@k,e-f.@.k
1328,bingung,bi-ngung,bINUN,b.I-N.U.N
1329,muka,mu-ka,mUkV,m.U-k.V
1330,kejam,ke-jam,kedZVm,k.e-dZ.V.m
1331,atlet,at-let,Vtl@t,V.t-l.@.t
1332,beban,be-ban,bebVn,b.e-b.V.n
1333,saluran,sa-lu-ran,sVlUrVn,s.V-l.U-r.V.n
1334,mulutmu,mu-lut-mu,mUlUtmU,m.U-l.U.t-m.U
1335,istana,is-ta-na,IstVnV,I.s-t.V-n.V
1336,jadwal,jad-wal,dZVdwVl,dZ.V.d-w.V.l
1337,antar,an-tar,VntVr,V.n-t.V.r
1338,tali,ta-li,tVlI,t.V-l.I
1339,kaum,ka-um,kaUm,k.a-U.m
1340,kunjungan,kun-jung-an,kUndZUNVn,k.U.n-dZ.U.N-V.n
1341,internet,in-ter-net,Intern@t,I.n-t.e.r-n.@.t
1342,restoran,res-to-ran,r@stQrVn,r.@.s-t.Q-r.V.n
1343,menghormati,meng-hor-mati,m@NhQrmVtI,m.@.N-h.Q.r-m.V.t.I
1344,ringan,ri-ngan,rINVn,r.I-N.V.n
1345,lembut,lem-but,lembUt,l.e.m-b.U.t
1346,kebun,ke-bun,kebUn,k.e-b.U.n
1347,berumur,ber-u-mur,b@rUmUr,b.@.r-U-m.U.r
1348,jalang,ja-lang,dZVlVN,dZ.V-l.V.N
1349,berupa,be-ru-pa,b@rUpV,b.@-r.U-p.V
1350,tegas,te-gas,tegVs,t.e-g.V.s
1351,memaksa,me-mak-sa,m@mVksV,m.@-m.V.k-s.V
1352,berhak,ber-hak,berhVk,b.e.r-h.V.k
1353,kuno,ku-no,kUnQ,k.U-n.Q
1354,aduh,a-duh,VdUh,V-d.U.h
1355,penulis,pe-nu-lis,p@nUlIs,p.@-n.U-l.I.s
1356,rekaman,re-kam-an,r@kVmVn,r.@-k.V-m.V.n
1357,jasa,ja-sa,dZVsV,dZ.V-s.V
1358,kacang,ka-cang,kVtSVN,k.V-tS.V.N
1359,ilmuwan,il-mu-wan,IlmUwVn,I.l-m.U-w.V.n
1360,pola,po-la,pQlV,p.Q-l.V
1361,vampir,vam-pir,fVmpIr,f.V.m-p.I.r
1362,sinar,si-nar,sInVr,s.I-n.V.r
1363,pedagang,pe-da-gang,p@dVgVN,p.@-d.V-g.V.N
1364,tertinggi,ter-ting-gi,t@rtINgI,t.@.r-t.I.N-g.I
1365,cadangan,ca-dang-an,tSVdVNVn,tS.V-d.V.N-V.n
1366,gemuk,ge-muk,gemUk,g.e-m.U.k
1367,rumit,ru-mit,rUmIt,r.U-m.I.t
1368,basah,ba-sah,bVsVh,b.V-s.V.h
1369,mencetak,men-ce-tak,m@ntSetVk,m.@.n-tS.e-t.V.k
1370,dapur,da-pur,dVpUr,d.V-p.U.r
1371,jelaskan,je-las-kan,dZ@lVskVn,dZ.@-l.V.s-k.V.n
1372,madu,ma-du,mVdU,m.V-d.U
1373,akses,ak-ses,Vks@s,V.k-s.@.s
1374,solusi,so-lu-si,sQlUsI,s.Q-l.U-s.I
1375,alien,a-li-en,VlIn,V-l.I.n
1376,koran,ko-ran,kQrVn,k.Q-r.V.n
1377,walau,wa-lau,wVlaU,w.V-l.aU
1378,medali,me-da-li,m@dVlI,m.@-d.V-l.I
1379,botol,bo-tol,bQtQl,b.Q-t.Q.l
1380,tambah,tam-bah,tVmbVh,t.V.m-b.V.h
1381,jutaan,ju-ta-an,dZUtV_Vn,dZ.U-t.V-_V.n
